timestamp,carbondioxide
2026-02-06_00:00,1009
2026-02-06_00:02,1076
2026-02-06_00:04,1003
2026-02-06_00:06,962
2026-02-06_00:08,954
2026-02-06_00:10,967
2026-02-06_00:12,945
2026-02-06_00:14,985
2026-02-06_00:16,1012
2026-02-06_00:18,938
2026-02-06_00:20,982
2026-02-06_00:22,1049
2026-02-06_00:24,1058
2026-02-06_00:26,961
2026-02-06_00:28,944
2026-02-06_00:30,972
2026-02-06_00:32,1110
2026-02-06_00:34,1010
2026-02-06_00:36,848
2026-02-06_00:38,972
2026-02-06_00:40,874
2026-02-06_00:42,1013
2026-02-06_00:44,1011
2026-02-06_00:46,987
2026-02-06_00:48,986
2026-02-06_00:50,948
2026-02-06_00:52,938
2026-02-06_00:54,958
2026-02-06_00:56,883
2026-02-06_00:58,913
2026-02-06_01:00,954
2026-02-06_01:02,882
2026-02-06_01:04,932
2026-02-06_01:06,988
2026-02-06_01:08,974
2026-02-06_01:10,882
2026-02-06_01:12,957
2026-02-06_01:14,861
2026-02-06_01:16,979
2026-02-06_01:18,978
2026-02-06_01:20,986
2026-02-06_01:22,918
2026-02-06_01:24,984
2026-02-06_01:26,985
2026-02-06_01:28,936
2026-02-06_01:30,846
2026-02-06_01:32,950
2026-02-06_01:34,906
2026-02-06_01:36,848
2026-02-06_01:38,995
2026-02-06_01:40,916
2026-02-06_01:42,964
2026-02-06_01:44,955
2026-02-06_01:46,901
2026-02-06_01:48,1037
2026-02-06_01:50,903
2026-02-06_01:52,938
2026-02-06_01:54,947
2026-02-06_01:56,941
2026-02-06_01:58,953
2026-02-06_02:00,996
2026-02-06_02:02,981
2026-02-06_02:04,907
2026-02-06_02:06,992
2026-02-06_02:08,945
2026-02-06_02:10,984
2026-02-06_02:12,957
2026-02-06_02:14,884
2026-02-06_02:16,950
2026-02-06_02:18,912
2026-02-06_02:20,989
2026-02-06_02:22,944
2026-02-06_02:24,1006
2026-02-06_02:26,968
2026-02-06_02:28,981
2026-02-06_02:30,1036
2026-02-06_02:32,1010
2026-02-06_02:34,1026
2026-02-06_02:36,1030
2026-02-06_02:38,971
2026-02-06_02:40,928
2026-02-06_02:42,920
2026-02-06_02:44,932
2026-02-06_02:46,936
2026-02-06_02:48,816
2026-02-06_02:50,929
2026-02-06_02:52,915
2026-02-06_02:54,947
2026-02-06_02:56,965
2026-02-06_02:58,1016
2026-02-06_03:00,875
2026-02-06_03:02,905
2026-02-06_03:04,967
2026-02-06_03:06,901
2026-02-06_03:08,988
2026-02-06_03:10,954
2026-02-06_03:12,924
2026-02-06_03:14,926
2026-02-06_03:16,983
2026-02-06_03:18,991
2026-02-06_03:20,897
2026-02-06_03:22,925
2026-02-06_03:24,862
2026-02-06_03:26,822
2026-02-06_03:28,924
2026-02-06_03:30,935
2026-02-06_03:32,966
2026-02-06_03:34,959
2026-02-06_03:36,923
2026-02-06_03:38,996
2026-02-06_03:40,857
2026-02-06_03:42,861
2026-02-06_03:44,877
2026-02-06_03:46,876
2026-02-06_03:48,953
2026-02-06_03:50,884
2026-02-06_03:52,913
2026-02-06_03:54,992
2026-02-06_03:56,1002
2026-02-06_03:58,911
2026-02-06_04:00,1013
2026-02-06_04:02,981
2026-02-06_04:04,1009
2026-02-06_04:06,868
2026-02-06_04:08,956
2026-02-06_04:10,918
2026-02-06_04:12,944
2026-02-06_04:14,850
2026-02-06_04:16,932
2026-02-06_04:18,898
2026-02-06_04:20,969
2026-02-06_04:22,996
2026-02-06_04:24,947
2026-02-06_04:26,886
2026-02-06_04:28,952
2026-02-06_04:30,934
2026-02-06_04:32,975
2026-02-06_04:34,882
2026-02-06_04:36,905
2026-02-06_04:38,897
2026-02-06_04:40,958
2026-02-06_04:42,955
2026-02-06_04:44,914
2026-02-06_04:46,966
2026-02-06_04:48,956
2026-02-06_04:50,928
2026-02-06_04:52,866
2026-02-06_04:54,918
2026-02-06_04:56,875
2026-02-06_04:58,828
2026-02-06_05:00,972
2026-02-06_05:02,965
2026-02-06_05:04,963
2026-02-06_05:06,829
2026-02-06_05:08,921
2026-02-06_05:10,926
2026-02-06_05:12,898
2026-02-06_05:14,900
2026-02-06_05:16,910
2026-02-06_05:18,930
2026-02-06_05:20,885
2026-02-06_05:22,854
2026-02-06_05:24,875
2026-02-06_05:26,836
2026-02-06_05:28,871
2026-02-06_05:30,835
2026-02-06_05:32,910
2026-02-06_05:34,892
2026-02-06_05:36,905
2026-02-06_05:38,881
2026-02-06_05:40,980
2026-02-06_05:42,945
2026-02-06_05:44,948
2026-02-06_05:46,833
2026-02-06_05:48,993
2026-02-06_05:50,954
2026-02-06_05:52,949
2026-02-06_05:54,946
2026-02-06_05:56,923
2026-02-06_05:58,959
2026-02-06_06:00,917
2026-02-06_06:02,873
2026-02-06_06:04,908
2026-02-06_06:06,981
2026-02-06_06:08,882
2026-02-06_06:10,932
2026-02-06_06:12,977
2026-02-06_06:14,886
2026-02-06_06:16,947
2026-02-06_06:18,935
2026-02-06_06:20,945
2026-02-06_06:22,974
2026-02-06_06:24,955
2026-02-06_06:26,1009
2026-02-06_06:28,875
2026-02-06_06:30,905
2026-02-06_06:32,958
2026-02-06_06:34,850
2026-02-06_06:36,909
2026-02-06_06:38,947
2026-02-06_06:40,958
2026-02-06_06:42,1048
2026-02-06_06:44,992
2026-02-06_06:46,1090
2026-02-06_06:48,974
2026-02-06_06:50,1073
2026-02-06_06:52,966
2026-02-06_06:54,1051
2026-02-06_06:56,1039
2026-02-06_06:58,1021
2026-02-06_07:00,1063
2026-02-06_07:02,1029
2026-02-06_07:04,1017
2026-02-06_07:06,1039
2026-02-06_07:08,1081
2026-02-06_07:10,1082
2026-02-06_07:12,1021
2026-02-06_07:14,1131
2026-02-06_07:16,1031
2026-02-06_07:18,982
2026-02-06_07:20,1116
2026-02-06_07:22,1130
2026-02-06_07:24,1183
2026-02-06_07:26,1141
2026-02-06_07:28,1069
2026-02-06_07:30,1131
2026-02-06_07:32,1070
2026-02-06_07:34,1158
2026-02-06_07:36,1206
2026-02-06_07:38,1105
2026-02-06_07:42,1100
2026-02-06_07:44,1144
2026-02-06_07:46,1136
2026-02-06_07:48,1106
2026-02-06_07:50,1106
2026-02-06_07:52,1099
2026-02-06_07:54,1065
2026-02-06_07:58,1084
2026-02-06_08:00,1177
2026-02-06_08:02,1169
2026-02-06_08:04,1123
2026-02-06_08:06,1100
2026-02-06_08:08,1116
2026-02-06_08:10,1145
2026-02-06_08:12,1180
2026-02-06_08:14,1247
2026-02-06_08:16,1122
2026-02-06_08:18,1063
2026-02-06_08:20,1232
2026-02-06_08:24,1098
2026-02-06_08:26,1124
2026-02-06_08:28,1215
2026-02-06_08:30,1194
2026-02-06_08:32,1049
2026-02-06_08:34,1160
2026-02-06_08:36,1146
2026-02-06_08:40,1008
2026-02-06_08:42,1046
2026-02-06_08:44,1006
2026-02-06_08:46,1133
2026-02-06_08:48,1094
2026-02-06_08:50,1148
2026-02-06_08:52,1173
2026-02-06_08:54,1085
2026-02-06_08:56,1168
2026-02-06_08:58,1117
2026-02-06_09:00,1067
2026-02-06_09:02,1097
2026-02-06_09:06,1127
2026-02-06_09:08,1034
2026-02-06_09:10,1104
2026-02-06_09:12,1082
2026-02-06_09:14,1032
2026-02-06_09:16,1147
2026-02-06_09:18,1121
2026-02-06_09:20,1061
2026-02-06_09:22,1039
2026-02-06_09:24,978
2026-02-06_09:26,1208
2026-02-06_09:28,1119
2026-02-06_09:30,1017
2026-02-06_09:32,1058
2026-02-06_09:34,995
2026-02-06_09:36,1018
2026-02-06_09:38,1071
2026-02-06_09:40,1074
2026-02-06_09:42,1088
2026-02-06_09:44,1034
2026-02-06_09:48,1124
2026-02-06_09:50,1101
2026-02-06_09:52,1059
2026-02-06_09:54,1089
2026-02-06_09:56,1052
2026-02-06_09:58,1088
2026-02-06_10:00,1081
2026-02-06_10:02,1096
2026-02-06_10:04,1000
2026-02-06_10:06,989
2026-02-06_10:08,1103
