timestamp,humidity
2026-02-06_00:00,56.84
2026-02-06_00:02,56.33
2026-02-06_00:04,56.57
2026-02-06_00:06,55.59
2026-02-06_00:08,55.84
2026-02-06_00:10,55.45
2026-02-06_00:12,55.62
2026-02-06_00:14,55.37
2026-02-06_00:16,55.16
2026-02-06_00:18,55.13
2026-02-06_00:20,55.26
2026-02-06_00:22,55.81
2026-02-06_00:24,55.36
2026-02-06_00:26,55.71
2026-02-06_00:28,56.19
2026-02-06_00:30,55.85
2026-02-06_00:32,55.70
2026-02-06_00:34,55.76
2026-02-06_00:36,56.45
2026-02-06_00:38,56.11
2026-02-06_00:40,55.94
2026-02-06_00:42,56.23
2026-02-06_00:44,56.27
2026-02-06_00:46,56.72
2026-02-06_00:48,56.90
2026-02-06_00:50,55.99
2026-02-06_00:52,56.49
2026-02-06_00:54,55.80
2026-02-06_00:56,55.78
2026-02-06_00:58,56.70
2026-02-06_01:00,56.03
2026-02-06_01:02,55.66
2026-02-06_01:04,55.97
2026-02-06_01:06,56.43
2026-02-06_01:08,56.55
2026-02-06_01:10,55.86
2026-02-06_01:12,55.44
2026-02-06_01:14,55.42
2026-02-06_01:16,56.19
2026-02-06_01:18,55.35
2026-02-06_01:20,55.19
2026-02-06_01:22,55.22
2026-02-06_01:24,55.29
2026-02-06_01:26,56.05
2026-02-06_01:28,56.53
2026-02-06_01:30,56.27
2026-02-06_01:32,56.44
2026-02-06_01:34,56.73
2026-02-06_01:36,56.94
2026-02-06_01:38,56.50
2026-02-06_01:40,56.77
2026-02-06_01:42,56.94
2026-02-06_01:44,56.83
2026-02-06_01:46,56.80
2026-02-06_01:48,56.87
2026-02-06_01:50,56.85
2026-02-06_01:52,56.82
2026-02-06_01:54,57.02
2026-02-06_01:56,57.00
2026-02-06_01:58,56.95
2026-02-06_02:00,56.96
2026-02-06_02:02,56.89
2026-02-06_02:04,56.91
2026-02-06_02:06,56.98
2026-02-06_02:08,56.82
2026-02-06_02:10,56.88
2026-02-06_02:12,56.82
2026-02-06_02:14,56.92
2026-02-06_02:16,57.03
2026-02-06_02:18,56.86
2026-02-06_02:20,56.80
2026-02-06_02:22,56.83
2026-02-06_02:24,56.91
2026-02-06_02:26,56.80
2026-02-06_02:28,56.86
2026-02-06_02:30,56.91
2026-02-06_02:32,56.95
2026-02-06_02:34,56.92
2026-02-06_02:36,56.82
2026-02-06_02:38,56.87
2026-02-06_02:40,56.77
2026-02-06_02:42,56.82
2026-02-06_02:44,56.86
2026-02-06_02:46,56.92
2026-02-06_02:48,56.66
2026-02-06_02:50,56.88
2026-02-06_02:52,56.77
2026-02-06_02:54,56.72
2026-02-06_02:56,56.84
2026-02-06_02:58,56.79
2026-02-06_03:00,56.83
2026-02-06_03:02,56.80
2026-02-06_03:04,56.77
2026-02-06_03:06,56.66
2026-02-06_03:08,56.72
2026-02-06_03:10,56.56
2026-02-06_03:12,56.76
