timestamp,temperature
2026-02-06_00:00,18.62
2026-02-06_00:02,18.62
2026-02-06_00:04,18.62
2026-02-06_00:06,18.62
2026-02-06_00:08,18.62
2026-02-06_00:10,18.62
2026-02-06_00:12,18.62
2026-02-06_00:14,18.62
2026-02-06_00:16,18.62
2026-02-06_00:18,18.62
2026-02-06_00:20,18.62
2026-02-06_00:22,18.62
2026-02-06_00:24,18.62
2026-02-06_00:26,18.62
2026-02-06_00:28,18.62
2026-02-06_00:30,18.62
2026-02-06_00:32,18.62
2026-02-06_00:34,18.62
2026-02-06_00:36,18.62
2026-02-06_00:38,18.62
2026-02-06_00:40,18.62
2026-02-06_00:42,18.62
2026-02-06_00:44,18.62
2026-02-06_00:46,18.62
2026-02-06_00:48,18.62
2026-02-06_00:50,18.62
2026-02-06_00:52,18.62
2026-02-06_00:54,18.62
2026-02-06_00:56,18.62
2026-02-06_00:58,18.62
2026-02-06_01:00,18.62
2026-02-06_01:02,18.62
2026-02-06_01:04,18.62
2026-02-06_01:06,18.62
2026-02-06_01:08,18.62
2026-02-06_01:10,18.62
2026-02-06_01:12,18.62
2026-02-06_01:14,18.62
2026-02-06_01:16,18.62
2026-02-06_01:18,18.62
2026-02-06_01:20,18.56
2026-02-06_01:22,18.62
2026-02-06_01:24,18.62
2026-02-06_01:26,18.56
2026-02-06_01:28,18.56
2026-02-06_01:30,18.56
2026-02-06_01:32,18.62
2026-02-06_01:34,18.62
2026-02-06_01:36,18.62
2026-02-06_01:38,18.56
2026-02-06_01:40,18.56
2026-02-06_01:42,18.62
2026-02-06_01:44,18.56
2026-02-06_01:46,18.56
2026-02-06_01:48,18.62
2026-02-06_01:50,18.56
2026-02-06_01:52,18.56
2026-02-06_01:54,18.62
2026-02-06_01:56,18.62
2026-02-06_01:58,18.56
2026-02-06_02:00,18.56
2026-02-06_02:02,18.56
2026-02-06_02:04,18.56
2026-02-06_02:06,18.56
2026-02-06_02:08,18.56
2026-02-06_02:10,18.56
2026-02-06_02:12,18.56
2026-02-06_02:14,18.56
2026-02-06_02:16,18.56
2026-02-06_02:18,18.56
2026-02-06_02:20,18.56
2026-02-06_02:22,18.50
2026-02-06_02:24,18.56
2026-02-06_02:26,18.56
2026-02-06_02:28,18.56
2026-02-06_02:30,18.50
2026-02-06_02:32,18.50
2026-02-06_02:34,18.50
2026-02-06_02:36,18.50
2026-02-06_02:38,18.50
2026-02-06_02:40,18.50
2026-02-06_02:42,18.50
2026-02-06_02:44,18.50
2026-02-06_02:46,18.50
2026-02-06_02:48,18.50
2026-02-06_02:50,18.50
2026-02-06_02:52,18.50
2026-02-06_02:54,18.50
2026-02-06_02:56,18.44
2026-02-06_02:58,18.44
2026-02-06_03:00,18.50
2026-02-06_03:02,18.44
2026-02-06_03:04,18.44
2026-02-06_03:06,18.44
2026-02-06_03:08,18.44
2026-02-06_03:10,18.44
2026-02-06_03:12,18.44
2026-02-06_03:14,18.44
2026-02-06_03:16,18.44
2026-02-06_03:18,18.44
2026-02-06_03:20,18.44
2026-02-06_03:22,18.44
2026-02-06_03:24,18.44
2026-02-06_03:26,18.44
2026-02-06_03:28,18.44
2026-02-06_03:30,18.44
2026-02-06_03:32,18.38
2026-02-06_03:34,18.38
2026-02-06_03:36,18.38
2026-02-06_03:38,18.38
2026-02-06_03:40,18.38
2026-02-06_03:42,18.38
2026-02-06_03:44,18.38
2026-02-06_03:46,18.38
2026-02-06_03:48,18.38
2026-02-06_03:50,18.38
2026-02-06_03:52,18.38
2026-02-06_03:54,18.38
2026-02-06_03:56,18.38
2026-02-06_03:58,18.31
2026-02-06_04:00,18.31
2026-02-06_04:02,18.38
2026-02-06_04:04,18.31
2026-02-06_04:06,18.31
2026-02-06_04:08,18.31
2026-02-06_04:10,18.38
2026-02-06_04:12,18.31
2026-02-06_04:14,18.31
2026-02-06_04:16,18.31
2026-02-06_04:18,18.31
2026-02-06_04:20,18.31
2026-02-06_04:22,18.31
2026-02-06_04:24,18.31
2026-02-06_04:26,18.31
2026-02-06_04:28,18.31
2026-02-06_04:30,18.31
2026-02-06_04:32,18.31
2026-02-06_04:34,18.31
2026-02-06_04:36,18.31
2026-02-06_04:38,18.31
2026-02-06_04:40,18.31
2026-02-06_04:42,18.31
2026-02-06_04:44,18.38
2026-02-06_04:46,18.31
2026-02-06_04:48,18.31
2026-02-06_04:50,18.31
2026-02-06_04:52,18.31
2026-02-06_04:54,18.31
2026-02-06_04:56,18.38
2026-02-06_04:58,18.38
2026-02-06_05:00,18.38
2026-02-06_05:02,18.38
2026-02-06_05:04,18.38
2026-02-06_05:06,18.38
2026-02-06_05:08,18.38
2026-02-06_05:10,18.38
2026-02-06_05:12,18.38
2026-02-06_05:14,18.44
2026-02-06_05:16,18.38
2026-02-06_05:18,18.44
2026-02-06_05:20,18.44
2026-02-06_05:22,18.44
2026-02-06_05:24,18.44
2026-02-06_05:26,18.44
2026-02-06_05:28,18.50
2026-02-06_05:30,18.50
2026-02-06_05:32,18.44
2026-02-06_05:34,18.44
2026-02-06_05:36,18.50
2026-02-06_05:38,18.44
2026-02-06_05:40,18.50
2026-02-06_05:42,18.50
2026-02-06_05:44,18.50
2026-02-06_05:46,18.50
2026-02-06_05:48,18.50
2026-02-06_05:50,18.50
2026-02-06_05:52,18.50
2026-02-06_05:54,18.56
2026-02-06_05:56,18.56
2026-02-06_05:58,18.56
2026-02-06_06:00,18.56
2026-02-06_06:02,18.56
2026-02-06_06:04,18.56
2026-02-06_06:06,18.56
2026-02-06_06:08,18.56
2026-02-06_06:10,18.56
2026-02-06_06:12,18.56
2026-02-06_06:14,18.56
2026-02-06_06:16,18.56
2026-02-06_06:18,18.62
2026-02-06_06:20,18.62
2026-02-06_06:22,18.62
2026-02-06_06:24,18.62
2026-02-06_06:26,18.62
2026-02-06_06:28,18.62
2026-02-06_06:30,18.62
2026-02-06_06:32,18.62
2026-02-06_06:34,18.62
2026-02-06_06:36,18.62
2026-02-06_06:38,18.62
2026-02-06_06:40,18.62
2026-02-06_06:42,18.62
2026-02-06_06:44,18.62
2026-02-06_06:46,18.62
2026-02-06_06:48,18.69
2026-02-06_06:50,18.62
2026-02-06_06:52,18.62
2026-02-06_06:54,18.69
2026-02-06_06:56,18.69
2026-02-06_06:58,18.69
2026-02-06_07:00,18.69
2026-02-06_07:02,18.69
2026-02-06_07:04,18.69
2026-02-06_07:06,18.75
2026-02-06_07:08,18.75
2026-02-06_07:10,18.75
2026-02-06_07:12,18.75
2026-02-06_07:14,18.75
2026-02-06_07:16,18.75
2026-02-06_07:18,18.75
2026-02-06_07:20,18.75
2026-02-06_07:22,18.81
2026-02-06_07:24,18.81
2026-02-06_07:26,18.81
2026-02-06_07:28,18.88
2026-02-06_07:30,18.88
2026-02-06_07:32,18.88
2026-02-06_07:34,18.88
2026-02-06_07:36,18.88
2026-02-06_07:38,18.94
2026-02-06_07:40,18.94
2026-02-06_07:42,18.94
2026-02-06_07:44,19.00
2026-02-06_07:46,19.00
2026-02-06_07:48,19.06
2026-02-06_07:50,19.06
2026-02-06_07:52,19.06
2026-02-06_07:54,19.06
2026-02-06_07:56,19.12
2026-02-06_07:58,19.12
2026-02-06_08:00,19.12
2026-02-06_08:02,19.19
2026-02-06_08:04,19.19
2026-02-06_08:06,19.19
2026-02-06_08:08,19.19
2026-02-06_08:10,19.19
2026-02-06_08:12,19.25
2026-02-06_08:14,19.25
2026-02-06_08:16,19.25
2026-02-06_08:18,19.25
2026-02-06_08:20,19.31
2026-02-06_08:22,19.25
2026-02-06_08:24,19.31
2026-02-06_08:26,19.31
2026-02-06_08:28,19.31
2026-02-06_08:30,19.31
2026-02-06_08:32,19.31
2026-02-06_08:34,19.31
2026-02-06_08:36,19.38
2026-02-06_08:38,19.31
2026-02-06_08:40,19.31
2026-02-06_08:42,19.38
2026-02-06_08:44,19.38
2026-02-06_08:46,19.31
2026-02-06_08:48,19.31
2026-02-06_08:50,19.38
2026-02-06_08:52,19.31
2026-02-06_08:54,19.31
2026-02-06_08:56,19.38
2026-02-06_08:58,19.38
2026-02-06_09:00,19.38
2026-02-06_09:02,19.38
2026-02-06_09:04,19.38
2026-02-06_09:06,19.31
2026-02-06_09:08,19.38
2026-02-06_09:10,19.38
2026-02-06_09:12,19.38
2026-02-06_09:14,19.38
2026-02-06_09:16,19.38
2026-02-06_09:18,19.38
2026-02-06_09:20,19.38
2026-02-06_09:22,19.38
2026-02-06_09:24,19.38
2026-02-06_09:26,19.38
2026-02-06_09:28,19.38
2026-02-06_09:30,19.38
2026-02-06_09:32,19.38
2026-02-06_09:34,19.31
2026-02-06_09:36,19.38
2026-02-06_09:38,19.38
2026-02-06_09:40,19.38
2026-02-06_09:42,19.31
2026-02-06_09:44,19.38
2026-02-06_09:46,19.31
2026-02-06_09:48,19.31
2026-02-06_09:50,19.31
2026-02-06_09:52,19.38
2026-02-06_09:54,19.31
2026-02-06_09:56,19.31
2026-02-06_09:58,19.38
2026-02-06_10:00,19.31
2026-02-06_10:02,19.31
2026-02-06_10:04,19.31
2026-02-06_10:06,19.31
2026-02-06_10:08,19.38
2026-02-06_10:10,19.38
2026-02-06_10:12,19.31
2026-02-06_10:14,19.31
2026-02-06_10:16,19.31
2026-02-06_10:18,19.31
2026-02-06_10:20,19.31
2026-02-06_10:22,19.31
2026-02-06_10:24,19.31
2026-02-06_10:26,19.31
2026-02-06_10:28,19.31
2026-02-06_10:30,19.31
2026-02-06_10:32,19.31
2026-02-06_10:34,19.31
2026-02-06_10:36,19.31
2026-02-06_10:38,19.31
2026-02-06_10:40,19.31
2026-02-06_10:42,19.31
2026-02-06_10:44,19.31
2026-02-06_10:46,19.31
2026-02-06_10:48,19.31
2026-02-06_10:50,19.31
2026-02-06_10:52,19.31
2026-02-06_10:54,19.31
2026-02-06_10:56,19.31
2026-02-06_10:58,19.31
2026-02-06_11:00,19.31
2026-02-06_11:02,19.31
2026-02-06_11:04,19.31
2026-02-06_11:06,19.31
2026-02-06_11:08,19.31
2026-02-06_11:10,19.31
2026-02-06_11:12,19.31
2026-02-06_11:14,19.31
2026-02-06_11:16,19.31
2026-02-06_11:18,19.31
2026-02-06_11:20,19.31
2026-02-06_11:22,19.31
2026-02-06_11:24,19.31
2026-02-06_11:26,19.31
2026-02-06_11:28,19.31
2026-02-06_11:30,19.31
2026-02-06_11:32,19.31
2026-02-06_11:34,19.31
2026-02-06_11:36,19.25
2026-02-06_11:38,19.25
2026-02-06_11:40,19.25
2026-02-06_11:42,19.25
2026-02-06_11:44,19.25
2026-02-06_11:46,19.25
2026-02-06_11:48,19.25
2026-02-06_11:50,19.25
2026-02-06_11:52,19.25
2026-02-06_11:54,19.25
2026-02-06_11:56,19.25
2026-02-06_11:58,19.25
2026-02-06_12:00,19.25
2026-02-06_12:02,19.25
2026-02-06_12:04,19.25
2026-02-06_12:06,19.25
2026-02-06_12:08,19.25
2026-02-06_12:10,19.19
2026-02-06_12:12,19.25
2026-02-06_12:14,19.19
2026-02-06_12:16,19.25
2026-02-06_12:18,19.19
2026-02-06_12:20,19.25
2026-02-06_12:22,19.19
2026-02-06_12:24,19.19
2026-02-06_12:26,19.19
2026-02-06_12:28,19.19
2026-02-06_12:30,19.19
2026-02-06_12:32,19.19
2026-02-06_12:34,19.19
2026-02-06_12:36,19.19
2026-02-06_12:38,19.19
2026-02-06_12:40,19.19
2026-02-06_12:42,19.19
2026-02-06_12:44,19.19
2026-02-06_12:46,19.19
2026-02-06_12:48,19.19
2026-02-06_12:50,19.19
2026-02-06_12:52,19.19
2026-02-06_12:54,19.12
2026-02-06_12:56,19.19
2026-02-06_12:58,19.19
2026-02-06_13:00,19.19
2026-02-06_13:02,19.19
2026-02-06_13:04,19.12
2026-02-06_13:06,19.12
2026-02-06_13:08,19.12
2026-02-06_13:10,19.12
2026-02-06_13:12,19.12
2026-02-06_13:14,19.12
2026-02-06_13:16,19.12
2026-02-06_13:18,19.12
2026-02-06_13:20,19.12
2026-02-06_13:22,19.12
2026-02-06_13:24,19.12
2026-02-06_13:26,19.12
2026-02-06_13:28,19.12
2026-02-06_13:30,19.12
2026-02-06_13:32,19.12
2026-02-06_13:34,19.12
2026-02-06_13:36,19.12
2026-02-06_13:38,19.12
2026-02-06_13:40,19.12
2026-02-06_13:42,19.12
2026-02-06_13:44,19.12
2026-02-06_13:46,19.12
2026-02-06_13:48,19.19
2026-02-06_13:50,19.12
2026-02-06_13:52,19.19
2026-02-06_13:54,19.19
2026-02-06_13:56,19.12
2026-02-06_13:58,19.19
2026-02-06_14:00,19.12
2026-02-06_14:02,19.19
2026-02-06_14:04,19.19
2026-02-06_14:06,19.19
2026-02-06_14:08,19.19
2026-02-06_14:10,19.19
2026-02-06_14:12,19.19
2026-02-06_14:14,19.19
2026-02-06_14:16,19.19
2026-02-06_14:18,19.19
2026-02-06_14:20,19.19
2026-02-06_14:22,19.19
2026-02-06_14:24,19.19
2026-02-06_14:26,19.19
2026-02-06_14:28,19.19
2026-02-06_14:30,19.25
2026-02-06_14:32,19.25
2026-02-06_14:34,19.25
2026-02-06_14:36,19.25
2026-02-06_14:38,19.19
2026-02-06_14:40,19.19
2026-02-06_14:42,19.19
2026-02-06_14:44,19.19
2026-02-06_14:46,19.25
2026-02-06_14:48,19.19
2026-02-06_14:50,19.19
2026-02-06_14:52,19.25
2026-02-06_14:54,19.25
2026-02-06_14:56,19.25
2026-02-06_14:58,19.25
2026-02-06_15:00,19.25
2026-02-06_15:02,19.25
2026-02-06_15:04,19.19
2026-02-06_15:06,19.25
2026-02-06_15:08,19.19
2026-02-06_15:10,19.25
2026-02-06_15:12,19.19
2026-02-06_15:14,19.19
2026-02-06_15:16,19.25
2026-02-06_15:18,19.25
2026-02-06_15:20,19.25
2026-02-06_15:22,19.19
2026-02-06_15:24,19.25
2026-02-06_15:26,19.19
2026-02-06_15:28,19.19
2026-02-06_15:30,19.19
2026-02-06_15:32,19.19
2026-02-06_15:34,19.25
2026-02-06_15:36,19.19
2026-02-06_15:38,19.19
2026-02-06_15:40,19.19
2026-02-06_15:42,19.12
2026-02-06_15:44,19.12
2026-02-06_15:46,19.12
2026-02-06_15:48,19.12
2026-02-06_15:50,19.12
2026-02-06_15:52,19.06
2026-02-06_15:54,19.12
2026-02-06_15:56,19.06
2026-02-06_15:58,19.06
2026-02-06_16:00,19.06
2026-02-06_16:02,19.06
2026-02-06_16:04,19.06
2026-02-06_16:06,19.06
2026-02-06_16:08,19.00
2026-02-06_16:10,19.00
2026-02-06_16:12,19.00
2026-02-06_16:14,19.00
2026-02-06_16:16,19.00
2026-02-06_16:18,19.00
2026-02-06_16:20,18.94
2026-02-06_16:22,18.94
2026-02-06_16:24,18.94
2026-02-06_16:26,18.94
2026-02-06_16:28,18.94
2026-02-06_16:30,18.94
2026-02-06_16:32,18.88
2026-02-06_16:34,18.88
2026-02-06_16:36,18.88
2026-02-06_16:38,18.88
2026-02-06_16:40,18.88
2026-02-06_16:42,18.88
2026-02-06_16:44,18.88
2026-02-06_16:46,18.81
2026-02-06_16:48,18.88
2026-02-06_16:50,18.81
2026-02-06_16:52,18.88
2026-02-06_16:54,18.81
2026-02-06_16:56,18.81
2026-02-06_16:58,18.81
2026-02-06_17:00,18.81
2026-02-06_17:02,18.81
2026-02-06_17:04,18.81
2026-02-06_17:06,18.81
2026-02-06_17:08,18.81
2026-02-06_17:10,18.81
2026-02-06_17:12,18.81
2026-02-06_17:14,18.75
2026-02-06_17:16,18.75
2026-02-06_17:18,18.75
2026-02-06_17:20,18.75
2026-02-06_17:22,18.75
2026-02-06_17:24,18.75
2026-02-06_17:26,18.75
2026-02-06_17:28,18.75
2026-02-06_17:30,18.75
2026-02-06_17:32,18.75
2026-02-06_17:34,18.75
2026-02-06_17:36,18.75
2026-02-06_17:38,18.75
2026-02-06_17:40,18.75
2026-02-06_17:42,18.75
2026-02-06_17:44,18.75
2026-02-06_17:46,18.75
2026-02-06_17:48,18.75
2026-02-06_17:50,18.75
2026-02-06_17:52,18.69
2026-02-06_17:54,18.75
2026-02-06_17:56,18.75
2026-02-06_17:58,18.75
2026-02-06_18:00,18.75
2026-02-06_18:02,18.75
2026-02-06_18:04,18.69
2026-02-06_18:06,18.75
2026-02-06_18:08,18.75
2026-02-06_18:10,18.75
2026-02-06_18:12,18.75
2026-02-06_18:14,18.75
2026-02-06_18:16,18.75
2026-02-06_18:18,18.75
2026-02-06_18:20,18.75
2026-02-06_18:22,18.75
2026-02-06_18:24,18.75
2026-02-06_18:26,18.75
2026-02-06_18:28,18.75
2026-02-06_18:30,18.75
2026-02-06_18:32,18.75
2026-02-06_18:34,18.81
2026-02-06_18:36,18.75
2026-02-06_18:38,18.75
2026-02-06_18:40,18.75
2026-02-06_18:42,18.75
2026-02-06_18:44,18.75
2026-02-06_18:46,18.81
2026-02-06_18:48,18.75
2026-02-06_18:50,18.81
2026-02-06_18:52,18.81
2026-02-06_18:54,18.81
2026-02-06_18:56,18.81
2026-02-06_18:58,18.81
2026-02-06_19:00,18.81
2026-02-06_19:02,18.81
2026-02-06_19:04,18.81
2026-02-06_19:06,18.81
2026-02-06_19:08,18.81
2026-02-06_19:10,18.81
2026-02-06_19:12,18.81
2026-02-06_19:14,18.81
2026-02-06_19:16,18.81
2026-02-06_19:18,18.81
2026-02-06_19:20,18.81
2026-02-06_19:22,18.81
2026-02-06_19:24,18.81
2026-02-06_19:26,18.81
2026-02-06_19:28,18.88
2026-02-06_19:30,18.88
2026-02-06_19:32,18.88
2026-02-06_19:34,18.88
2026-02-06_19:36,18.88
2026-02-06_19:38,18.88
2026-02-06_19:40,18.88
2026-02-06_19:42,18.88
2026-02-06_19:44,18.94
2026-02-06_19:46,18.94
2026-02-06_19:48,18.94
2026-02-06_19:50,18.94
2026-02-06_19:52,18.94
2026-02-06_19:54,18.94
2026-02-06_19:56,18.94
2026-02-06_19:58,18.94
2026-02-06_20:00,19.00
2026-02-06_20:02,19.00
2026-02-06_20:04,19.00
2026-02-06_20:06,19.00
2026-02-06_20:08,19.00
2026-02-06_20:10,19.00
2026-02-06_20:12,19.06
2026-02-06_20:14,19.06
2026-02-06_20:16,19.06
2026-02-06_20:18,19.06
2026-02-06_20:20,19.06
2026-02-06_20:22,19.06
2026-02-06_20:24,19.06
2026-02-06_20:26,19.12
2026-02-06_20:28,19.12
2026-02-06_20:30,19.12
2026-02-06_20:32,19.12
2026-02-06_20:34,19.19
2026-02-06_20:36,19.12
2026-02-06_20:38,19.12
2026-02-06_20:40,19.19
2026-02-06_20:42,19.19
2026-02-06_20:44,19.19
2026-02-06_20:46,19.19
2026-02-06_20:48,19.19
2026-02-06_20:50,19.25
2026-02-06_20:52,19.25
2026-02-06_20:54,19.25
2026-02-06_20:56,19.25
2026-02-06_20:58,19.31
2026-02-06_21:00,19.25
2026-02-06_21:02,19.31
2026-02-06_21:04,19.31
2026-02-06_21:06,19.31
2026-02-06_21:08,19.31
2026-02-06_21:10,19.31
2026-02-06_21:12,19.31
2026-02-06_21:14,19.31
2026-02-06_21:16,19.38
2026-02-06_21:18,19.38
2026-02-06_21:20,19.38
