timestamp,moisture
2026-02-07_00:00,995
2026-02-07_00:02,997
2026-02-07_00:04,992
2026-02-07_00:06,979
2026-02-07_00:08,980
2026-02-07_00:10,983
2026-02-07_00:12,977
2026-02-07_00:14,991
2026-02-07_00:16,977
2026-02-07_00:18,993
2026-02-07_00:20,981
2026-02-07_00:22,984
2026-02-07_00:24,994
2026-02-07_00:26,992
2026-02-07_00:28,977
2026-02-07_00:30,976
2026-02-07_00:32,976
2026-02-07_00:34,994
2026-02-07_00:36,996
2026-02-07_00:38,981
2026-02-07_00:40,988
2026-02-07_00:42,996
2026-02-07_00:44,991
2026-02-07_00:46,986
2026-02-07_00:48,975
2026-02-07_00:50,995
2026-02-07_00:52,977
2026-02-07_00:54,984
2026-02-07_00:56,990
2026-02-07_00:58,994
2026-02-07_01:00,982
2026-02-07_01:02,974
2026-02-07_01:04,973
2026-02-07_01:06,994
2026-02-07_01:08,977
2026-02-07_01:10,994
2026-02-07_01:12,984
2026-02-07_01:14,984
2026-02-07_01:16,976
2026-02-07_01:18,975
2026-02-07_01:20,977
2026-02-07_01:22,976
2026-02-07_01:24,981
2026-02-07_01:26,975
2026-02-07_01:28,990
2026-02-07_01:30,980
2026-02-07_01:32,974
2026-02-07_01:34,987
2026-02-07_01:36,979
2026-02-07_01:38,977
2026-02-07_01:40,971
2026-02-07_01:42,993
2026-02-07_01:44,993
2026-02-07_01:46,991
2026-02-07_01:48,980
2026-02-07_01:50,991
2026-02-07_01:52,970
2026-02-07_01:54,993
2026-02-07_01:56,993
2026-02-07_01:58,988
2026-02-07_02:00,989
2026-02-07_02:02,982
2026-02-07_02:04,991
2026-02-07_02:06,990
2026-02-07_02:08,987
2026-02-07_02:10,980
2026-02-07_02:12,981
2026-02-07_02:14,991
2026-02-07_02:16,990
2026-02-07_02:18,980
2026-02-07_02:20,970
2026-02-07_02:22,987
2026-02-07_02:24,969
2026-02-07_02:26,985
2026-02-07_02:28,992
2026-02-07_02:30,976
2026-02-07_02:32,970
2026-02-07_02:34,989
2026-02-07_02:36,974
2026-02-07_02:38,972
2026-02-07_02:40,971
2026-02-07_02:42,990
2026-02-07_02:44,987
2026-02-07_02:46,989
2026-02-07_02:48,972
2026-02-07_02:50,989
2026-02-07_02:52,991
2026-02-07_02:54,987
2026-02-07_02:56,984
2026-02-07_02:58,985
2026-02-07_03:00,973
2026-02-07_03:02,972
2026-02-07_03:04,977
2026-02-07_03:06,972
2026-02-07_03:08,967
2026-02-07_03:10,985
2026-02-07_03:12,973
2026-02-07_03:14,991
2026-02-07_03:16,970
2026-02-07_03:18,990
2026-02-07_03:20,967
2026-02-07_03:22,970
2026-02-07_03:24,967
2026-02-07_03:26,982
2026-02-07_03:28,971
2026-02-07_03:30,990
2026-02-07_03:32,968
2026-02-07_03:34,990
2026-02-07_03:36,986
2026-02-07_03:38,966
2026-02-07_03:40,970
2026-02-07_03:42,972
2026-02-07_03:44,966
2026-02-07_03:46,979
2026-02-07_03:48,968
2026-02-07_03:50,985
2026-02-07_03:52,971
2026-02-07_03:54,968
2026-02-07_03:56,977
2026-02-07_03:58,969
2026-02-07_04:00,987
2026-02-07_04:02,972
2026-02-07_04:04,982
2026-02-07_04:06,978
2026-02-07_04:08,965
2026-02-07_04:10,975
2026-02-07_04:12,967
2026-02-07_04:14,988
2026-02-07_04:16,968
2026-02-07_04:18,988
2026-02-07_04:20,972
2026-02-07_04:22,965
2026-02-07_04:24,969
2026-02-07_04:26,972
2026-02-07_04:28,970
2026-02-07_04:30,967
2026-02-07_04:32,980
2026-02-07_04:34,973
2026-02-07_04:36,971
2026-02-07_04:38,972
2026-02-07_04:40,975
2026-02-07_04:42,988
2026-02-07_04:44,987
2026-02-07_04:46,984
2026-02-07_04:48,964
2026-02-07_04:50,971
2026-02-07_04:52,963
2026-02-07_04:54,968
2026-02-07_04:56,971
2026-02-07_04:58,984
2026-02-07_05:00,980
2026-02-07_05:02,985
2026-02-07_05:04,968
2026-02-07_05:06,964
2026-02-07_05:08,979
2026-02-07_05:10,987
2026-02-07_05:12,977
2026-02-07_05:14,986
2026-02-07_05:16,975
2026-02-07_05:18,962
2026-02-07_05:20,981
2026-02-07_05:22,978
2026-02-07_05:24,964
2026-02-07_05:26,962
2026-02-07_05:28,968
2026-02-07_05:30,962
2026-02-07_05:32,980
2026-02-07_05:34,964
2026-02-07_05:36,986
2026-02-07_05:38,961
2026-02-07_05:40,985
2026-02-07_05:42,961
2026-02-07_05:44,982
2026-02-07_05:46,969
2026-02-07_05:48,978
2026-02-07_05:50,964
2026-02-07_05:52,985
2026-02-07_05:54,962
2026-02-07_05:56,983
2026-02-07_05:58,974
2026-02-07_06:00,979
2026-02-07_06:02,982
2026-02-07_06:04,962
2026-02-07_06:06,982
2026-02-07_06:08,960
2026-02-07_06:10,978
2026-02-07_06:12,964
2026-02-07_06:14,984
2026-02-07_06:16,984
2026-02-07_06:18,977
2026-02-07_06:20,965
2026-02-07_06:22,965
2026-02-07_06:24,965
2026-02-07_06:26,983
2026-02-07_06:28,966
2026-02-07_06:30,959
2026-02-07_06:32,961
2026-02-07_06:34,962
2026-02-07_06:36,965
2026-02-07_06:38,982
2026-02-07_06:40,982
2026-02-07_06:42,959
2026-02-07_06:44,962
2026-02-07_06:46,977
2026-02-07_06:48,978
2026-02-07_06:50,959
2026-02-07_06:52,982
2026-02-07_06:54,961
2026-02-07_06:56,969
2026-02-07_06:58,965
2026-02-07_07:00,983
2026-02-07_07:02,958
2026-02-07_07:04,982
2026-02-07_07:06,975
2026-02-07_07:08,958
2026-02-07_07:10,971
2026-02-07_07:12,981
2026-02-07_07:14,968
2026-02-07_07:16,971
2026-02-07_07:18,960
2026-02-07_07:20,962
2026-02-07_07:22,982
2026-02-07_07:24,964
2026-02-07_07:26,977
2026-02-07_07:28,973
2026-02-07_07:30,749
2026-02-07_07:32,768
2026-02-07_07:34,833
2026-02-07_07:36,804
2026-02-07_07:38,783
2026-02-07_07:40,895
2026-02-07_07:42,842
2026-02-07_07:44,817
2026-02-07_07:46,707
2026-02-07_07:48,813
2026-02-07_07:50,851
2026-02-07_07:52,845
2026-02-07_07:54,820
2026-02-07_07:58,799
2026-02-07_08:00,748
2026-02-07_08:02,775
2026-02-07_08:04,850
2026-02-07_08:06,854
2026-02-07_08:08,866
2026-02-07_08:10,733
2026-02-07_08:12,830
2026-02-07_08:14,711
2026-02-07_08:16,818
2026-02-07_08:18,887
2026-02-07_08:20,861
2026-02-07_08:22,810
2026-02-07_08:24,898
2026-02-07_08:26,917
2026-02-07_08:28,801
2026-02-07_08:30,890
2026-02-07_08:32,856
2026-02-07_08:34,723
2026-02-07_08:36,848
2026-02-07_08:38,852
2026-02-07_08:40,875
2026-02-07_08:42,807
2026-02-07_08:44,782
2026-02-07_08:46,794
2026-02-07_08:48,849
2026-02-07_08:50,859
2026-02-07_08:52,779
2026-02-07_08:54,744
2026-02-07_08:56,829
2026-02-07_08:58,750
2026-02-07_09:00,823
2026-02-07_09:02,905
2026-02-07_09:04,840
2026-02-07_09:06,831
2026-02-07_09:08,741
2026-02-07_09:10,829
2026-02-07_09:12,770
2026-02-07_09:14,881
2026-02-07_09:16,857
2026-02-07_09:18,829
2026-02-07_09:20,846
2026-02-07_09:22,859
2026-02-07_09:24,722
2026-02-07_09:26,789
2026-02-07_09:28,862
2026-02-07_09:30,835
2026-02-07_09:32,835
2026-02-07_09:34,867
2026-02-07_09:36,842
2026-02-07_09:38,861
2026-02-07_09:40,861
2026-02-07_09:42,862
2026-02-07_09:44,833
2026-02-07_09:46,744
2026-02-07_09:48,930
2026-02-07_09:50,867
2026-02-07_09:52,731
2026-02-07_09:54,854
2026-02-07_09:56,884
2026-02-07_09:58,803
2026-02-07_10:00,850
2026-02-07_10:02,829
2026-02-07_10:04,900
2026-02-07_10:06,721
2026-02-07_10:08,858
2026-02-07_10:10,767
2026-02-07_10:12,901
2026-02-07_10:14,835
2026-02-07_10:16,947
2026-02-07_10:18,754
2026-02-07_10:20,784
2026-02-07_10:22,835
2026-02-07_10:24,841
2026-02-07_10:26,835
2026-02-07_10:28,851
2026-02-07_10:30,871
2026-02-07_10:32,743
2026-02-07_10:34,717
2026-02-07_10:36,860
2026-02-07_10:38,893
2026-02-07_10:40,896
2026-02-07_10:42,735
2026-02-07_10:44,855
2026-02-07_10:46,823
2026-02-07_10:48,843
2026-02-07_10:50,840
2026-02-07_10:52,939
2026-02-07_10:54,832
2026-02-07_10:56,864
2026-02-07_10:58,852
2026-02-07_11:02,907
2026-02-07_11:04,902
2026-02-07_11:06,852
2026-02-07_11:08,936
2026-02-07_11:10,851
2026-02-07_11:12,871
2026-02-07_11:14,737
2026-02-07_11:16,889
2026-02-07_11:18,904
2026-02-07_11:20,853
2026-02-07_11:22,880
2026-02-07_11:24,831
2026-02-07_11:26,893
2026-02-07_11:28,892
2026-02-07_11:30,908
2026-02-07_11:32,854
2026-02-07_11:34,817
2026-02-07_11:36,857
2026-02-07_11:38,877
2026-02-07_11:40,887
2026-02-07_11:44,850
2026-02-07_11:46,863
2026-02-07_11:48,873
2026-02-07_11:50,909
2026-02-07_11:52,883
2026-02-07_11:54,875
2026-02-07_11:56,798
2026-02-07_11:58,840
2026-02-07_12:00,880
2026-02-07_12:02,880
2026-02-07_12:04,878
2026-02-07_12:06,900
2026-02-07_12:08,834
2026-02-07_12:10,817
2026-02-07_12:12,891
2026-02-07_12:14,920
2026-02-07_12:16,897
2026-02-07_12:18,735
2026-02-07_12:20,879
2026-02-07_12:22,858
2026-02-07_12:26,890
2026-02-07_12:28,871
2026-02-07_12:30,840
2026-02-07_12:32,921
2026-02-07_12:34,871
2026-02-07_12:36,871
2026-02-07_12:38,876
2026-02-07_12:40,727
2026-02-07_12:42,906
2026-02-07_12:44,899
2026-02-07_12:46,863
2026-02-07_12:48,875
2026-02-07_12:50,901
2026-02-07_12:52,823
2026-02-07_12:54,919
2026-02-07_12:56,836
2026-02-07_12:58,900
2026-02-07_13:00,906
2026-02-07_13:02,859
2026-02-07_13:04,848
2026-02-07_13:08,752
2026-02-07_13:10,891
2026-02-07_13:12,956
2026-02-07_13:14,868
2026-02-07_13:16,849
2026-02-07_13:18,881
2026-02-07_13:20,933
2026-02-07_13:24,885
2026-02-07_13:26,872
2026-02-07_13:28,877
2026-02-07_13:30,916
2026-02-07_13:32,921
2026-02-07_13:34,885
2026-02-07_13:36,875
2026-02-07_13:38,874
2026-02-07_13:40,846
2026-02-07_13:42,827
2026-02-07_13:44,869
2026-02-07_13:46,873
2026-02-07_13:50,848
2026-02-07_13:52,926
2026-02-07_13:54,856
2026-02-07_13:56,888
2026-02-07_13:58,924
2026-02-07_14:00,829
